to speak	að tala	verb
to say	að segja	verb
to listen	að hlusta	verb
to hurry	að flýtja {k}	verb
to live [reside]	að búa	verb
to write	að skrifa	verb
check	að athuga	
cycling	að hjóla	
download	að hala niður	
sb. may [is permitted]	má	
to play (sth.)	að spila (e-ð)	
to play	að leika	
to play chess	að tefla	
to put	að setja	
to run	að hlaupa	
to say	að segja	
to sit	að sitja	
to sleep	að sofa	
to swim	að synda	
to talk	að tala	
to take sth.	að hertaka e-ð	
to make	að gera	
to open	að opna	
to pay	að borga	
to plan sth.	að áætla e-ð	
to hear	að heyra	
to lay	að leggja	
to learn	að læra	
to like sth.	að kæra sig um e-ð	
to live	að lifa	
to look	að sjá	
to love	að elska	
to be awake	að vaka	
to be	að vera	
to ask	að biðja	
to answer the call of nature	að ganga örna sinna	
to apologise [Br.]	að afsaka	
to wash	að þvo	
to work	að vinna	
